tempos,pesos
0.1011953353881836,-1702.1632719306617
0.24300050735473633,-1713.2572976840377
0.3329317569732666,-1711.5586908701237
0.39848756790161133,-1700.1992578020736
0.47632837295532227,-1715.3805562014302
0.5540988445281982,-1709.3823508897963
0.6358840465545654,-1717.3445703300183
0.8122661113739014,-1704.2865304480542
0.9215435981750488,-1713.7881123133857
1.033451795578003,-1718.883932755128
1.1770977973937988,-1716.2298596083872
1.3238582611083984,-1706.5159518913163
1.4636213779449463,-1702.5879236341402
1.5902140140533447,-1712.62032012882
1.7160592079162598,-1716.3360225342567
1.8405647277832031,-1710.868631851971
1.9738190174102783,-1716.1236966825174
2.123176097869873,-1718.3531181257797
2.3076064586639404,-1711.6117723330583
2.451190233230591,-1708.4799660199044
2.5657827854156494,-1712.3549128141458
2.6856751441955566,-1711.717935258928
2.786895275115967,-1718.1938737369753
2.9079108238220215,-1710.4970616114274
3.055938243865967,-1716.6545113118657
3.2046473026275635,1711.2932835554495
3.3320789337158203,-1711.399446481319
3.425852060317993,3.5564580166324986
3.539900064468384,-1713.8411937763206
3.6846799850463867,-1710.550143074362
3.806454658508301,-1712.5141572029502
3.905407428741455,-1711.9833425736022
4.048589706420898,-1716.6014298489308
4.180251598358154,-1711.8771796477324
4.3357508182525635,-1703.8618787445757
4.45023250579834,-1710.2847357596881
4.568972826004028,-1706.9406035947948
4.684017658233643,-1714.1066010909947
4.8109846115112305,-1713.2042162211028
4.985412359237671,-1713.7881123133857
5.104149580001831,-1716.017533756648
5.231954097747803,-1723.7143458821959
5.367916584014893,-1712.6734015917548
5.503275394439697,-1712.3549128141458
5.634154319763184,-1704.923508003272
5.761446475982666,-1715.168230349691
